run,task,method,model,num_samples,llm_calls,best_score,best_sample_order,breakthrough_count,breakthrough_rate_w10,first_breakthrough_window,last_breakthrough_window,n_windows,best_update_event_count,strict_fitness_event_count,tie_shorter_count,unclassified_best_update_count,lrr,mean_delta,mean_pcd,n_edges,avg_novelty,init_novelty,mean_h_spatial,mean_h_fitness,operator_mix
fair1000_20260730_1755_cvrp_pw_rep1,cvrp_aco,pathwise,/home/fzy/models/Qwen3.6-27B-NVFP4,1000,1978,-9.128676305631776,619,19,0.13,1.0,62.0,100,0,0,0,0,0.3,0.005772263659776105,0.053965417520797816,100,0.014905238686136435,0.1967240432532612,2.254971566910559,2.254860625297885,"{""init"": 29, ""world_model"": 962, ""fallback"": 3}"
fair1000_20260730_1755_cvrp_pw_rep2,cvrp_aco,pathwise,/home/fzy/models/Qwen3.6-27B-NVFP4,1000,1946,-9.089339939961711,763,12,0.12,4.0,77.0,100,0,0,0,0,0.3125,-0.009817890021795672,0.052885055219409526,96,0.015296473767503342,0.1945899616362538,2.259882308713252,2.2593834437806426,"{""init"": 28, ""world_model"": 961, ""fallback"": 2}"
fair1000_20260730_1755_cvrp_pw_rep3,cvrp_aco,pathwise,qwen3.6-27b-awq,1000,1966,-8.87381534040274,832,38,0.31,1.0,84.0,100,0,0,0,0,0.46511627906976744,-0.10192374345631877,0.08265507257798493,86,0.023735230613238102,0.15522376233412763,2.253998588046804,2.2538022947940335,"{""init"": 30, ""world_model"": 950, ""fallback"": 6}"
fair1000_20260730_1755_obp_pw_rep1,online_bin_packing,pathwise,/home/fzy/models/Qwen3.6-27B-NVFP4,1000,1921,-731.0,968,11,0.1,15.0,97.0,100,0,0,0,0,0.37362637362637363,-0.5412087912087912,0.07979374956424719,91,0.018423768482311354,0.12324503579583684,2.262669245278381,2.2625876932224367,"{""init"": 29, ""world_model"": 962, ""fallback"": 7}"
fair1000_20260730_1755_obp_pw_rep2,online_bin_packing,pathwise,qwen3.6-27b-awq,1000,1735,-731.0,733,7,0.06,1.0,74.0,100,0,0,0,0,0.25,33.620535714285715,0.08746243963782067,56,0.015271933456741047,0.10348817501051233,2.2584751487213426,2.258453858835713,"{""init"": 30, ""world_model"": 968}"
fair1000_20260730_1755_obp_pw_rep3,online_bin_packing,pathwise,qwen3.6-27b-awq,1000,1845,-744.5,1,0,0.0,,,100,0,0,0,0,0.3283582089552239,0.13432835820895522,0.04217495466190748,67,0.008913011908416544,0.09771844582408716,2.2658725121179035,2.2654279962629063,"{""init"": 30, ""world_model"": 965, ""fallback"": 5}"
fair1000_20260730_1755_op_pw_rep1,op_aco,pathwise,/home/fzy/models/Qwen3.6-27B-NVFP4,1000,1842,14.734,593,10,0.06,4.0,60.0,100,0,0,0,0,0.14864864864864866,-0.15141891891891882,0.061686172189209465,148,0.023017856538180448,0.1407276953331048,2.2626835123962676,2.2616314708829415,"{""init"": 27, ""world_model"": 964, ""fallback"": 2}"
fair1000_20260730_1755_op_pw_rep2,op_aco,pathwise,qwen3.6-27b-awq,1000,1689,14.738,992,13,0.1,1.0,100.0,100,0,0,0,0,0.5,0.03199999999999979,0.05556013219662859,30,0.009102229502845467,0.14915779681987743,2.26011100998485,2.2590552764450105,"{""init"": 26, ""world_model"": 968}"
fair1000_20260730_1755_op_pw_rep3,op_aco,pathwise,qwen3.6-27b-awq,1000,1824,14.889999999999997,316,12,0.1,2.0,32.0,100,0,0,0,0,0.4318181818181818,-0.029818181818181886,0.0602962873482413,44,0.013491229507806327,0.15899328542379834,2.2589419431977196,2.257482976436576,"{""init"": 29, ""world_model"": 966, ""fallback"": 3}"
fair1000_20260730_1755_tsp_pw_rep1,tsp_construct,pathwise,/home/fzy/models/Qwen3.6-27B-NVFP4,1000,1926,-6.186496328505622,511,6,0.04,1.0,52.0,100,0,0,0,0,0.1935483870967742,-0.035488872608201154,0.10754751728201035,93,0.027268675468302948,0.25996011426033355,2.250186206068915,2.249874562140582,"{""init"": 24, ""world_model"": 960, ""fallback"": 3}"
fair1000_20260730_1755_tsp_pw_rep2,tsp_construct,pathwise,/home/fzy/models/Qwen3.6-27B-NVFP4,1000,1864,-6.207457578682204,991,22,0.16,1.0,100.0,100,0,0,0,0,0.29,-0.06488691582785423,0.10408395357023977,100,0.030959374659635306,0.2672672352209598,2.2627579771617663,2.2622371125359755,"{""init"": 27, ""world_model"": 965}"
fair1000_20260730_1755_tsp_pw_rep3,tsp_construct,pathwise,qwen3.6-27b-awq,1000,1774,-6.454378453571442,28,2,0.02,2.0,3.0,100,0,0,0,0,0.40963855421686746,-0.02213864255892577,0.20503583607015674,83,0.03812066595949993,0.23324620618750397,2.259813932349333,2.2595625347342305,"{""init"": 28, ""world_model"": 952, ""fallback"": 10}"
