run,task,method,window,n_nodes,mean_novelty,h_spatial,h_fitness,breakthrough
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,1,10,0.3198496079229811,2.296307833764342,2.297250438999893,1
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,2,8,0.30920241325126474,2.076863437657563,2.0758091568127037,0
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,3,9,0.3061632458545135,2.1954688387533547,2.194708241414297,0
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,4,10,0.14420795909077935,2.300327676522303,2.2990267031570886,0
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,5,10,0.1526351663791536,2.296621834270454,2.295268903793892,0
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,6,9,0.10345765100615595,2.192854771604559,2.189899701767218,0
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,7,10,0.09332941418879695,2.2865387136078885,2.2851419337605523,0
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,8,9,0.1574269091387831,2.179620915543713,2.1770021635681585,0
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,9,10,0.07934492562629994,2.293364169942533,2.2924459025001296,0
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,10,10,0.07648979554129616,2.2960091944296432,2.2960226030499467,0
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,11,10,0.08573033845541998,2.294747522998905,2.2946857599842945,0
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,12,9,0.0967375612656993,2.1920272497258124,2.1922101284234543,0
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,13,9,0.04691216950141836,2.1934942054542366,2.193414434890356,0
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,14,8,0.08289077247358556,2.0724571918805137,2.0725399222333807,0
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,15,10,0.12783643743669798,2.2993143025237943,2.2997642413800023,1
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,16,9,0.07653062756371933,2.1849887786932705,2.1848531286093587,1
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,17,9,0.10175259264481396,2.192937010505162,2.192798371565095,0
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,18,9,0.08761634311495395,2.196777099842496,2.196774333987304,0
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,19,9,0.05937733625214428,2.179560294509038,2.1790346605394046,1
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,20,8,0.06483176838783938,2.076771448613317,2.076818566897291,0
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,21,9,0.08684433123463135,2.1862681734085943,2.1861612425581014,1
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,22,9,0.07518429113862411,2.1803084610338557,2.1803924392623735,0
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,23,10,0.08431196620986868,2.28453214973411,2.2831602381344993,1
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,24,10,0.07188551776993796,2.290652230543762,2.2907802414119054,1
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,25,5,0.058692435220747255,1.6022656056970348,1.5997143196133417,0
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,26,10,0.06985002024234574,2.2794936614916557,2.2825336376964005,0
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,27,8,0.11743532523897211,2.075277744216715,2.075260488910121,0
20260723_204526_cvrp_v4_rep1,cvrp_aco,version4,28,8,0.044175284166667425,2.061401085849347,2.061325102692475,0
