task,version,run,sample_order,prompt_sha256,logged_prompt_tokens_raw,recounted_raw_tokens,recounted_chat_tokens,component_current_program_tokens,component_history_tokens,component_instruction_tokens,component_operator_direction_tokens,component_reference_history_tokens,component_reference_program_tokens,component_target_signature_tokens,component_task_tokens
tsp,v95,v9_5_20260811_171029_tsp_rep3,139,82ed554c5d60d0784069160396c584aa0c0f9fffda96cf8674e79f5754ce4cc1,5656,5656,5668,2187,3217,139,0,0,0,0,113
tsp,v95,v9_5_20260811_171029_tsp_rep3,305,4fe0068074b7443b31f1615b4e21cc90cc2f55023985bfb58af3c5fbd4dcc745,5302,5302,5314,1975,3075,139,0,0,0,0,113
tsp,v95,v9_5_20260811_171029_tsp_rep2,366,7581e6027d66108a76b2d11de3c2c5526ede1318d92e4a62509edf4256ab3fa5,5950,5950,5962,2815,2883,139,0,0,0,0,113
tsp,v95,v9_5_20260811_171029_tsp_rep3,113,d3aa3730108300a455a79c265b9de0ad03bbc2577e8a4521ad3d18aa985aaad4,4607,4607,4619,1218,3137,139,0,0,0,0,113
tsp,v95,v9_5_20260811_171029_tsp_rep2,932,95bb8aedc1cae6c7e3b77700a26f4677728e9bb5fe2a25db13463b18c47a96bf,5445,5445,5457,2507,2686,139,0,0,0,0,113
tsp,v95,v9_5_20260811_171029_tsp_rep3,495,981e15b7c80f5ba2d035c82dc8af5e5c6083678413263d599f79bdfde62aeab8,5539,5539,5551,1906,3381,139,0,0,0,0,113
tsp,v95,v9_5_20260811_171029_tsp_rep3,706,bd8fc8202fa13e8f01c133b38eb39a23bf64730c355ec6f7bbe8b4e4c5f95179,5192,5192,5204,1496,3444,139,0,0,0,0,113
tsp,v95,v9_5_20260811_171029_tsp_rep3,61,065cd523869b59ae4cfe5f9538a0e7600e01e2e3d3e16908ac6705babd3e3fba,5003,5003,5015,1700,3051,139,0,0,0,0,113
tsp,v95,v9_5_20260811_171029_tsp_rep3,509,5842f2ee6b692cdc3797463c51edbd818660d8bf6c033c0521e6c3a8200aa59d,5708,5708,5720,2232,3224,139,0,0,0,0,113
cvrp,v9,v9_20260807_123753_v9_cvrp_rep2,92,e527ffd15c3faad27e8990e5192efecb94af372d5574e3fc5bb5ffa99089bb1d,3304,3304,3316,1944,869,122,31,0,0,167,171
